bodyparts_coords,SL_x,SL_y,SR_x,SR_y,EL_x,EL_y,W1_x,W1_y,W2_x,W2_y,B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y,T1_x,T1_y,T2_x,T2_y,T3_x,T3_y,T4_x,T4_y,T5_x,T5_y,Label
4471,179.6664429,93.66836548,264.3658142,93.68856812,173.5998077,183.2290497,197.0327911,217.9636688,185.8983459,222.4131775,209.096283,232.9421234,201.3999939,236.0511169,193.4951477,237.1986237,186.1180267,238.3102112,180.5668945,239.5659637,212.6415405,250.0410004,201.1210175,259.6390076,193.5957642,261.4997864,187.1269531,259.5802917,181.2816315,256.1140442,2.0
4472,179.5928192,93.63835144,264.483551,93.72460938,173.5533447,183.2926483,196.6747589,217.7931824,185.7266388,222.4734802,208.8763885,232.0771942,200.8768463,235.3620758,193.1465607,236.6231232,185.9024506,237.8782349,180.3563538,239.3680267,212.5256195,249.4252319,201.4394531,259.559021,193.8284912,261.4854431,187.1734467,259.6281433,181.1575623,256.1763306,2.0
4473,179.6201477,93.62845612,264.462616,93.69834137,173.4615021,182.8714142,195.9604645,217.4571075,185.4323425,222.3223267,208.5878143,231.0007172,200.7476196,233.9849396,192.6745605,235.4149475,185.6549072,237.188446,180.1344299,239.2063904,212.2336578,248.8385773,202.037323,258.3879395,194.577652,260.8492432,187.4692688,259.4561768,181.1156616,256.4325867,2.0
4474,179.3950653,93.46546173,264.4750366,93.67138672,173.3689575,182.5322723,194.8089447,217.348938,184.7195892,221.3518524,207.60112,229.0161285,199.7372589,232.0615692,191.8424683,233.8585663,185.2693787,236.3578644,180.0738983,238.679184,211.5353088,246.7360535,202.5908356,256.1803284,195.5632782,259.5132141,187.8522797,258.5272217,180.8692474,256.2136841,2.0
4475,179.3855286,93.46572876,264.5046692,93.59915161,173.2256165,182.2944489,193.3577118,215.8009338,183.2173462,220.3658142,207.3044281,225.9057922,198.0130768,229.1732483,189.9463654,232.2127991,184.015213,235.1581879,179.4525909,237.8798065,210.0322266,243.2837372,202.2959747,253.3856812,194.6429901,257.0252686,187.100296,257.2058411,180.6143951,255.7320862,2.0
4476,179.3784943,93.55767822,264.5617371,93.73151398,172.9202728,181.9452515,192.1369171,214.0188599,182.2642822,219.2520447,205.6637268,222.5628967,196.5539398,226.0220642,188.5559692,229.7828674,183.1350403,233.3191528,179.1019287,236.5678864,208.5595093,238.2853241,200.2169952,248.414978,193.2083893,253.2826538,185.8575287,255.0844879,180.5191803,254.0649872,2.0
4477,179.7376862,93.16156006,264.4417725,93.65332031,172.2254333,181.1478271,190.6768646,211.7673798,181.8671875,218.882782,203.5553284,218.2964935,193.2034149,222.1063538,185.185379,225.4542084,181.010498,230.3762054,177.8804474,234.6712341,207.2611389,233.0463257,198.5771637,241.1983032,192.8800964,248.2146606,186.2922974,251.6602325,181.3201294,251.4222107,2.0
4478,179.7351074,93.14488983,264.4098206,93.61141205,171.7013245,180.4145813,188.2162781,209.4152527,180.04953,215.996994,200.6190948,215.5456543,190.4335022,217.0670776,184.4345093,221.3028412,178.8179016,225.3177185,175.8845367,231.1447601,205.8232574,228.223175,196.8424835,235.2376709,191.6062012,242.7568359,184.9806213,245.2925262,181.1407013,246.2561188,2.0
4479,179.7230377,93.1308136,264.4139099,93.40949249,170.9065704,179.5767212,186.1573639,205.8118896,176.957489,212.1984711,198.6652985,210.0759125,188.1069183,212.6884918,181.1766968,215.2294617,177.3460083,221.6934357,173.7158051,225.9647369,204.1829834,221.8380432,196.1279602,227.8800354,190.4950409,235.1833344,183.2628479,238.7533569,179.5288849,240.1113129,2.0
4480,179.5887909,93.05558014,264.4269714,93.41172791,170.2592163,178.8645477,184.2907562,202.7734222,175.6525116,211.2903748,197.1126251,205.8246155,186.3601227,205.4624023,179.3392639,210.2555084,175.7359161,217.9104919,173.0159454,221.309845,201.676651,217.1082153,194.2598572,220.4199066,189.3871155,226.3625488,183.1429138,231.4747772,178.144928,234.3088226,2.0
4481,179.6260376,92.84518433,264.4033813,93.35284424,169.9815369,178.7481995,182.0640564,198.1781006,174.0699463,206.448288,196.1973572,200.8431549,184.3801575,201.4742126,177.6194153,206.1054688,174.772934,212.1336365,172.951889,218.5935059,201.343277,209.7922058,193.9043884,214.1792145,190.6233215,219.4626617,183.5191956,223.1322174,178.6664124,226.7076416,2.0
4482,179.8449097,92.97383881,264.474884,93.33033752,169.4152374,180.1677094,180.4949646,193.8672485,173.324646,203.2942657,196.4095764,194.996582,184.5548401,194.7408142,178.0993805,199.7780762,174.4236755,208.4567108,172.9471436,211.2667847,201.6634369,204.118515,194.3110657,207.0265198,190.2172394,211.542984,184.5549469,215.9998322,179.5506287,219.6858368,2.0
4483,179.929718,92.97006226,264.5865479,93.3691864,169.1142578,180.2391205,180.2839813,188.0441895,172.040741,198.4128265,196.1934357,190.9593353,185.3753967,189.4564667,179.219635,194.641571,172.9104767,201.3362579,171.3059235,208.6880646,201.1991577,200.4434967,195.1119843,201.6909027,190.9503479,206.6625366,184.1026917,208.9938354,178.9125671,214.9498291,2.0
4484,180.0166168,92.72358704,264.710144,93.23368073,167.9703827,176.4405975,178.7798157,183.0422363,168.807373,192.5780182,195.469101,185.5110016,183.7606812,181.2771149,173.4419556,184.656311,170.5698395,192.4844818,169.2103729,199.4693146,200.8662262,192.8280029,193.790802,194.2958221,190.9475861,201.2694855,182.057724,204.5218201,177.8721924,208.6895599,2.0
4485,179.9779816,92.59759521,264.8044128,93.22888947,166.9710693,172.7893829,178.7425842,175.1676941,168.1323395,186.1822662,196.0467834,178.8013763,183.5997467,173.7784729,172.3322296,177.4877014,168.7197113,185.9090271,165.8740692,194.0419159,202.0618744,187.5159302,195.1893158,190.9633942,189.5637512,195.8310089,182.5003967,199.7153778,175.9607239,205.4552765,2.0
4486,180.1579895,92.64161682,264.8630981,93.1964798,167.1296234,164.2735138,179.562851,167.2727814,167.7727509,178.7462769,195.5535126,171.5903931,182.4147034,165.0291138,171.1073303,168.5756836,167.943161,179.3357086,164.559433,188.0341644,202.2824249,181.3400116,195.6051025,183.3718872,189.3183746,191.8605804,180.5824432,194.1069794,176.2262726,199.9942322,2.0
4487,180.3097076,92.4369812,264.9096375,93.20383453,169.7107697,156.4916534,179.0087128,161.7309723,169.92659,169.9835052,195.1999969,167.3256683,180.8893127,158.8822174,170.0792084,163.5493927,165.559433,173.4429169,163.2553253,182.3394623,201.3535004,174.5156555,196.7032013,178.2639465,190.5139008,183.3712311,182.5971069,191.05867,177.6500244,197.2015839,2.0
4488,180.5071259,92.4365387,264.9742432,93.36363983,168.6422577,152.0706177,180.5970917,153.2402496,169.8989868,165.5102539,194.2718964,160.498642,181.5715637,151.6006622,170.8234558,158.4398956,166.5517273,169.5795898,163.5509796,178.3633575,200.7705841,170.0187683,198.2724915,173.9459839,192.6926727,180.8086243,184.5783844,187.799118,177.9987793,192.8956146,2.0
4489,180.2185822,92.82293701,265.1206665,93.14208984,168.1768494,151.7403717,180.2163696,150.3169403,172.8538361,185.0418701,196.4410706,154.2948303,182.7575531,144.8927155,171.8063202,149.9347839,167.0830536,160.5564117,165.1474762,172.6478119,203.5092468,164.5539703,199.6219177,166.7400055,194.7895966,177.2080231,188.4471741,182.3354187,181.2110138,188.1531982,2.0
4490,180.3320313,92.85144043,265.1053467,93.21930695,165.9837341,158.1175842,179.9525909,146.8687286,175.567337,184.5760651,197.4805145,148.9477539,185.4011383,137.6811523,172.4304199,145.8705292,168.749649,156.502655,167.0856323,170.6213226,201.6351318,158.3021545,200.1525116,162.5210724,195.9438171,168.9507904,189.1561737,177.5439758,181.6709595,183.8075256,2.0
4491,180.5778503,92.27287292,265.159668,93.29148865,167.9629822,166.8853149,179.7488098,135.6667175,176.0648956,178.8551178,192.7048492,140.8471375,183.6193848,133.263443,171.0172119,137.9645386,169.5256958,148.8753204,168.2489319,159.4835358,201.4399261,151.8581848,197.8322601,152.4268799,197.8703308,165.1094513,193.0357056,165.971405,187.5013123,175.5617218,2.0
4492,181.4716644,91.64137268,265.3375549,93.50180054,168.4556427,166.3750305,178.552536,135.4246368,179.7218781,176.3575745,194.4422455,136.8504791,184.0613556,128.9185638,176.8238373,134.4819794,170.7737885,145.6450653,170.0646973,156.601593,201.0480652,148.1417542,198.2473602,149.1228638,195.2008057,154.6880035,194.6457214,161.0679169,190.2728882,168.1372375,2.0
